RecordID,Visitor_key,Hit_date,Order_ind,CONTAINER_ID,Channel,Min_Visit Rtrn Cnt
15,100004089,2018-11-07,0,,SEO,68
16,100004089,2018-11-09,0,,SEO,68
17,100004089,2018-11-19,0,,SEO,68
